"","season","date","opponet","location","duke_score","oppon_score","overtime","duke_logo_url","oppon_logo_url","pbp_url","boxscore_url","teamstats_url"
"1","2017-2018","11-10","Elon","vs","97","68",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2210.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986320","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986320","http://www.espn.com/mens-college-basketball/matchup?gameId=400986320"
"2","2017-2018","11-11","Utah Valley","vs","99","69",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/3084.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986048","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986048","http://www.espn.com/mens-college-basketball/matchup?gameId=400986048"
"3","2017-2018","11-14","Michigan State","vs","88","81",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986058","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986058","http://www.espn.com/mens-college-basketball/matchup?gameId=400986058"
"4","2017-2018","11-17","Southern","vs","78","61",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2582.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986066","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986066","http://www.espn.com/mens-college-basketball/matchup?gameId=400986066"
"5","2017-2018","11-20","Furman","vs","92","63",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/231.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986078","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986078","http://www.espn.com/mens-college-basketball/matchup?gameId=400986078"
"6","2017-2018","11-23","Portland State","vs","99","81",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2502.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986088","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986088","http://www.espn.com/mens-college-basketball/matchup?gameId=400986088"
"7","2017-2018","11-24","Texas","vs","85","78","yes","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/251.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400999722","http://www.espn.com/mens-college-basketball/boxscore?gameId=400999722","http://www.espn.com/mens-college-basketball/matchup?gameId=400999722"
"8","2017-2018","11-26","Florida","vs","87","84",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/57.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401001001","http://www.espn.com/mens-college-basketball/boxscore?gameId=401001001","http://www.espn.com/mens-college-basketball/matchup?gameId=401001001"
"9","2017-2018","11-29","Indiana","@","91","81",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986108","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986108","http://www.espn.com/mens-college-basketball/matchup?gameId=400986108"
"10","2017-2018","12-2","South Dakota","vs","96","80",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/233.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986114","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986114","http://www.espn.com/mens-college-basketball/matchup?gameId=400986114"
"11","2017-2018","12-5","St. Francis (PA)","vs","124","67",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2598.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986123","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986123","http://www.espn.com/mens-college-basketball/matchup?gameId=400986123"
"12","2017-2018","12-9","Boston College","@","84","89",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/103.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986132","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986132","http://www.espn.com/mens-college-basketball/matchup?gameId=400986132"
"13","2017-2018","12-20","Evansville","vs","104","40",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/339.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986156","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986156","http://www.espn.com/mens-college-basketball/matchup?gameId=400986156"
"15","2017-2018","1-6","NC State","@","85","96",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/152.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986186","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986186","http://www.espn.com/mens-college-basketball/matchup?gameId=400986186"
"16","2017-2018","1-10","Pittsburgh","@","87","52",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986193","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986193","http://www.espn.com/mens-college-basketball/matchup?gameId=400986193"
"17","2017-2018","1-13","Wake Forest","vs","89","71",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986198","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986198","http://www.espn.com/mens-college-basketball/matchup?gameId=400986198"
"19","2017-2018","1-20","Pittsburgh","vs","81","54",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/221.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986214","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986214","http://www.espn.com/mens-college-basketball/matchup?gameId=400986214"
"20","2017-2018","1-23","Wake Forest","@","84","70",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/154.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986220","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986220","http://www.espn.com/mens-college-basketball/matchup?gameId=400986220"
"21","2017-2018","1-27","Virginia","vs","63","65",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/258.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986226","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986226","http://www.espn.com/mens-college-basketball/matchup?gameId=400986226"
"22","2017-2018","1-29","Notre Dame","vs","88","66",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/87.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986231","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986231","http://www.espn.com/mens-college-basketball/matchup?gameId=400986231"
"23","2017-2018","2-3","St. John's","@","77","81",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2599.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986238","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986238","http://www.espn.com/mens-college-basketball/matchup?gameId=400986238"
"24","2017-2018","2-8","North Carolina","@","78","82",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/153.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986251","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986251","http://www.espn.com/mens-college-basketball/matchup?gameId=400986251"
"25","2017-2018","2-11","Georgia Tech","@","80","69",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/59.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986257","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986257","http://www.espn.com/mens-college-basketball/matchup?gameId=400986257"
"26","2017-2018","2-14","Virginia Tech","vs","74","52",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986261","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986261","http://www.espn.com/mens-college-basketball/matchup?gameId=400986261"
"27","2017-2018","2-18","Clemson","@","66","57",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/228.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986268","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986268","http://www.espn.com/mens-college-basketball/matchup?gameId=400986268"
"28","2017-2018","2-21","Louisville","vs","82","56",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/97.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986275","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986275","http://www.espn.com/mens-college-basketball/matchup?gameId=400986275"
"29","2017-2018","2-24","Syracuse","vs","60","44",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/183.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986281","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986281","http://www.espn.com/mens-college-basketball/matchup?gameId=400986281"
"30","2017-2018","2-26","Virginia Tech","@","63","64",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/259.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400986283","http://www.espn.com/mens-college-basketball/boxscore?gameId=400986283","http://www.espn.com/mens-college-basketball/matchup?gameId=400986283"
