"","X.1","X","season","date","opponet","location","duke_score","oppon_score","overtime","duke_logo_url","oppon_logo_url","pbp_url","boxscore_url","teamstats_url"
"1",1,1,"2018-2019","11-6","Kentucky","vs",118,84,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/96.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401082669","http://www.espn.com/mens-college-basketball/boxscore?gameId=401082669","http://www.espn.com/mens-college-basketball/matchup?gameId=401082669"
"2",2,2,"2018-2019","11-11","Army","vs",94,72,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/349.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401082670","http://www.espn.com/mens-college-basketball/boxscore?gameId=401082670","http://www.espn.com/mens-college-basketball/matchup?gameId=401082670"
"3",3,3,"2018-2019","11-14","Eastern Michigan","vs",84,46,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2199.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401082671","http://www.espn.com/mens-college-basketball/boxscore?gameId=401082671","http://www.espn.com/mens-college-basketball/matchup?gameId=401082671"
"4",4,4,"2018-2019","11-19","San Diego State","vs",90,64,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/21.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401082672","http://www.espn.com/mens-college-basketball/boxscore?gameId=401082672","http://www.espn.com/mens-college-basketball/matchup?gameId=401082672"
"5",5,5,"2018-2019","11-20","Auburn","vs",78,72,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401096921","http://www.espn.com/mens-college-basketball/boxscore?gameId=401096921","http://www.espn.com/mens-college-basketball/matchup?gameId=401096921"
"6",6,6,"2018-2019","11-21","Gonzaga","vs",87,89,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401096923","http://www.espn.com/mens-college-basketball/boxscore?gameId=401096923","http://www.espn.com/mens-college-basketball/matchup?gameId=401096923"
"7",7,7,"2018-2019","11-27","Indiana","vs",90,69,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/84.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401082368","http://www.espn.com/mens-college-basketball/boxscore?gameId=401082368","http://www.espn.com/mens-college-basketball/matchup?gameId=401082368"
"8",8,8,"2018-2019","12-1","Stetson","vs",113,49,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/56.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401082673","http://www.espn.com/mens-college-basketball/boxscore?gameId=401082673","http://www.espn.com/mens-college-basketball/matchup?gameId=401082673"
"9",9,9,"2018-2019","12-5","Hartford","vs",84,54,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/42.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401082674","http://www.espn.com/mens-college-basketball/boxscore?gameId=401082674","http://www.espn.com/mens-college-basketball/matchup?gameId=401082674"
"10",10,10,"2018-2019","12-8","Yale","vs",91,58,NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/43.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=401082675","http://www.espn.com/mens-college-basketball/boxscore?gameId=401082675","http://www.espn.com/mens-college-basketball/matchup?gameId=401082675"
