"","date","opponet","location","duke_score","oppon_score","overtime","duke_logo_url","oppon_logo_url","pbp_url","boxscore_url"
"1"," Mar 20","Robert Morris ","vs","85","56  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2523.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400785351","http://www.espn.com/mens-college-basketball/boxscore?gameId=400785351"
"2"," Mar 22","San Diego State ","vs","68","49  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/21.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400786330","http://www.espn.com/mens-college-basketball/boxscore?gameId=400786330"
"3"," Mar 27","Utah ","vs","63","57  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/254.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400786476","http://www.espn.com/mens-college-basketball/boxscore?gameId=400786476"
"4"," Mar 29","Gonzaga ","vs","66","52  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2250.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400787701","http://www.espn.com/mens-college-basketball/boxscore?gameId=400787701"
"5"," Apr 4","Michigan State ","vs","81","61  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400787887","http://www.espn.com/mens-college-basketball/boxscore?gameId=400787887"
"6"," Apr 6","Wisconsin ","vs","68","63  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/275.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400788981","http://www.espn.com/mens-college-basketball/boxscore?gameId=400788981"
"7"," Nov 14","Presbyterian ","vs","113","44  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2506.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587747","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587747"
"8"," Nov 15","Fairfield ","vs","109","59  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/2217.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400586117","http://www.espn.com/mens-college-basketball/boxscore?gameId=400586117"
"9"," Nov 18","Michigan State ","vs","81","71  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/127.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400587768","http://www.espn.com/mens-college-basketball/boxscore?gameId=400587768"
"10"," Nov 21","Temple ","vs","74","54  ",NA,"https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/150.png&w=50&h=50&transparent=true","https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/218.png&w=50&h=50","http://www.espn.com/mens-college-basketball/playbyplay?gameId=400586682","http://www.espn.com/mens-college-basketball/boxscore?gameId=400586682"
